id;paevakaja_id;nimi
1;1;Saar Andres
2;1;Lumiste Mai
3;2;Aaremäe Helle-Mai
4;2;Mikrikova Tatjana
5;3;Toome Indrek
6;3;Otsason Rein
7;4;Rüütel Arnold
8;8;Ilves Elfriede
9;9;Berends Erki
10;10;Vare Kai
11;10;Saaret Marko
12;10;Teder Tiia
13;10;Kaljuste Tõnu
14;10;Oja Maret
15;10;Soosaar Mark
16;10;Kaarneem Viktor
17;11;Kompus Meelis
18;11;Kaupmees Anu
19;11;Rehemaa Ando
20;11;Trossek Andreas
21;11;Treufeldt Indrek
22;11;Jänes Laine
23;11;Paavo Vambola
24;16;Kiisler Indrek
25;16;Ilves Toomas Hendrik
26;16;Tali Veiko
27;16;Küüt Raivo
28;16;Kalda Vilve
29;16;Kelmsaar Vallo
30;16;Pello Nelli
31;16;Laineveer Indrek
32;16;Pukka Kalvi
33;16;Ehrenpreis Piret
34;17;Karjatse Tõnu
35;17;Salme Janek
36;17;Ilves Toomas Hendrik
37;17;Jakobson Gunnar
38;17;Loit Olev
39;17;Rist Piret
40;17;Vahter Nadežda
41;17;Nikolajev Jüri
42;17;Talu Vambo
43;17;Kivimägi Toomas
44;17;Vilgats Ester
45;18;Lass Liisu
46;18;Ilves Toomas Hendrik
47;18;Vallimäe Martin
48;18;Loide Mihkel
49;18;Kase Kaupo
50;18;Tomingas Margo
51;18;Rist Piret-Päiv
52;18;Uibo Andres
53;18;Mustonen Andres
54;18;Villers Evelyn
55;18;Tamm Piia
56;18;Toode Andres
57;18;Breivel Riho
58;18;Kukk Aadu
59;18;Gaškov Ago
60;19;Otsmaa Margitta
61;19;Ilves Toomas Hendrik
62;19;Vaher Elmar
63;19;Vallimäe Martin
64;19;Veermäe Egon
65;19;Vare Kai
66;19;Salvan Tiit
67;19;Ers Heigo
68;19;Piilmann Julia
69;19;Gaškov Ago
70;19;Aas Taavi
71;19;Kiisler Indrek
72;19;Merilain Merike
73;20;Thorez Maurice
74;21;Nuude Rudolf
75;22;Ilves Elfriede
