id;title;fonoteegi_nr;description;eetris;kestus;toimetajad;kategooria;esinejad;url;video
1;PÄEVAKAJA. Niguliste kirik.;ASCDR-140.9;"";"";00:04:51;"";Päevakaja;"Saar Andres, Lumiste Mai";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-niguliste-kirik;https://media.err.ee:80/arhiiv/@/AUDIO/a_27554_RMARHIIV.m4a
2;PÄEVAKAJA. Üleliiduline filmifestival Tallinnas.;ASCDR-172.7;"";"";00:03:41;Veldermann Hubert;Päevakaja;"Veldermann Hubert, Aaremäe Helle-Mai, Mikrikova Tatjana";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-uleliiduline-filmifestival-tallinnas-26005;https://media.err.ee:80/arhiiv/@/AUDIO/a_28511_RMARHIIV.m4a
3;PÄEVAKAJA. Eesti taasiseseisvumine.;RMARH-36625;"";"";00:03:57;"";Päevakaja;"Toome Indrek, Otsason Rein";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-eesti-taasiseseisvumine;https://media.err.ee:80/arhiiv/@/AUDIO/a_36625_RMARHIIV.m4a
4;PÄEVAKAJA. Eesti taasiseseisvumine.;RMARH-36626;"";"";00:03:49;"";Päevakaja;Rüütel Arnold;https://arhiiv.err.ee/vaata/paevakaja-paevakaja-eesti-taasiseseisvumine-31580;https://media.err.ee:80/arhiiv/@/AUDIO/a_36626_RMARHIIV.m4a
5;"Päevakaja: PÄEVAKAJA. 1950-ndad. Signatuur, algus tekstita";ASCDR-6574.6;"";"";00:00:44;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-1950-ndad-signatuur-algus-tekstita;https://media.err.ee:80/arhiiv/@/AUDIO/a_44150_RMARHIIV.m4a
6;"Päevakaja: PÄEVAKAJA. 1960-ndad. Signatuur, algus tekstita.";ASCDR-6574.7;"";"";00:00:29;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-1960-ndad-signatuur-algus-tekstita;https://media.err.ee:80/arhiiv/@/AUDIO/a_44151_RMARHIIV.m4a
7;"Päevakaja: PÄEVAKAJA. 1960-ndad. Signatuur, lõpp tekstita.";ASCDR-6574.8;"";"";00:00:20;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-1960-ndad-signatuur-lopp-tekstita;https://media.err.ee:80/arhiiv/@/AUDIO/a_44152_RMARHIIV.m4a
8;"Päevakaja: PÄEVAKAJA. 1966 Signatuur, algus, Elfriede Ilves.";ASCDR-6574.9;"";"";00:01:10;"";Päevakaja;Ilves Elfriede;https://arhiiv.err.ee/vaata/paevakaja-paevakaja-1966-signatuur-algus-elfriede-ilves;https://media.err.ee:80/arhiiv/@/AUDIO/a_44153_RMARHIIV.m4a
9;Päevakaja: PÄEVAKAJA. 1998-2002. Signatuur.;ASCDR-6574.27;"";"";00:03:03;"";Päevakaja;Berends Erki;https://arhiiv.err.ee/vaata/paevakaja-paevakaja-1998-2002-signatuur;https://media.err.ee:80/arhiiv/@/AUDIO/a_44172_RMARHIIV.m4a
10;PÄEVAKAJA. 01.01.1999.;RMARH-53046;"";01.01.1999;00:16:35;Vare Kai;Päevakaja;"Vare Kai, Saaret Marko, Teder Tiia, Kaljuste Tõnu, Oja Maret, Soosaar Mark, Kaarneem Viktor";https://arhiiv.err.ee/vaata/paevakaja-01-01-1999;https://media.err.ee:80/arhiiv/@/AUDIO/a_53046_RMARHIIV.m4a
11;PÄEVAKAJA NR. 15952 kl. 18.;RMARH-3129;"";01.01.2005;00:15:21;Kompus Meelis;Päevakaja;"Kompus Meelis, Kaupmees Anu, Rehemaa Ando, Trossek Andreas, Treufeldt Indrek, Jänes Laine, Paavo Vambola";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-15952-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3129_RMARHIIV.m4a
12;Päevakaja nr. 16317 kl. 18;RMARH-3903;"";01.01.2006;00:18:16;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16317-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_3903_RMARHIIV.m4a
13;Päevakaja nr. 16682 kl. 18;RMARH-4515;"";01.01.2007;00:16:01;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-16682-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_4515_RMARHIIV.m4a
14;Päevakaja nr. 17047 kl. 18;RMARH-5066;"";01.01.2008;00:15:19;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17047-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_5066_RMARHIIV.m4a
15;Päevakaja nr. 17413 kl. 18;RMARH-13639;"";01.01.2009;00:15:03;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17413-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_13639_RMARHIIV.m4a
16;PÄEVAKAJA NR. 17778 kl. 18.;RMARH-27845;"";01.01.2010;00:16:08;Kiisler Indrek;Päevakaja;"Kiisler Indrek, Ilves Toomas Hendrik, Tali Veiko, Küüt Raivo, Kalda Vilve, Kelmsaar Vallo, Pello Nelli, Laineveer Indrek, Pukka Kalvi, Ehrenpreis Piret";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-17778-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_27845_RMARHIIV.m4a
17;PÄEVAKAJA NR. 18143 kl. 18.;RMARH-39431;"";01.01.2011;00:15:53;Karjatse Tõnu;Päevakaja;"Karjatse Tõnu, Salme Janek, Ilves Toomas Hendrik, Jakobson Gunnar, Loit Olev, Rist Piret, Vahter Nadežda, Nikolajev Jüri, Talu Vambo, Kivimägi Toomas, Vilgats Ester";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-18143-kl-18;https://media.err.ee:80/arhiiv/@/AUDIO/a_39431_RMARHIIV.m4a
18;PÄEVAKAJA NR. 18508.;RMARH-50210;"";01.01.2012;00:16:27;Lass Liisu;Päevakaja;"Lass Liisu, Ilves Toomas Hendrik, Vallimäe Martin, Loide Mihkel, Kase Kaupo, Tomingas Margo, Rist Piret-Päiv, Uibo Andres, Mustonen Andres, Villers Evelyn, Tamm Piia, Toode Andres, Breivel Riho, Kukk Aadu, Gaškov Ago";https://arhiiv.err.ee/vaata/paevakaja-nr-18508;https://media.err.ee:80/arhiiv/@/AUDIO/a_50210_RMARHIIV.m4a
19;PÄEVAKAJA NR. 18874.;RMARH-62292;"";01.01.2013;00:16:26;Otsmaa Margitta;Päevakaja;"Otsmaa Margitta, Ilves Toomas Hendrik, Vaher Elmar, Vallimäe Martin, Veermäe Egon, Vare Kai, Salvan Tiit, Ers Heigo, Piilmann Julia, Gaškov Ago, Aas Taavi, Kiisler Indrek, Merilain Merike";https://arhiiv.err.ee/vaata/paevakaja-nr-18874;https://media.err.ee:80/arhiiv/@/AUDIO/a_62292_RMARHIIV.m4a
20;PÄEVAKAJA. Maurice Thorezi kõne;RMARH-104591;"";02.02.1944;00:05:45;Rebane Valdur;Päevakaja;"Rebane Valdur, Thorez Maurice";https://arhiiv.err.ee/vaata/paevakaja-maurice-thorezi-kone;https://media.err.ee:80/arhiiv/@/AUDIO/a_104591_RMARHIIV.m4a
21;Päevakaja: PÄEVAKAJA. Rudolf Nuude 50;ASCDR-8341.1.5;"";26.03.1959;00:06:15;"";Päevakaja;Nuude Rudolf;https://arhiiv.err.ee/vaata/paevakaja-paevakaja-rudolf-nuude-50;https://media.err.ee:80/arhiiv/@/AUDIO/a_89349_RMARHIIV.m4a
22;Päevakaja: PÄEVAKAJA NR. 378 kavas olnud 31.12.1959;ASCDR-328.1-15;"";31.12.1959;00:35:45;Kaasik Feliks;Päevakaja;"Kaasik Feliks, Ilves Elfriede, Lepik Rein, Mikko Klaus, Aarma, Sarv Leili, Laur Hugo, Sutt, Jürjo Paul, Sarv Henn, Svitkar Liia, Roopalu Henn, Pugatšov, Saar Martin";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-nr-378-kavas-olnud-31-12-1959;https://media.err.ee:80/arhiiv/@/AUDIO/a_31675_RMARHIIV.m4a
23;PÄEVAKAJA. Laos;RMARH-103885;"";13.01.1960;00:03:38;"";Päevakaja;"Saari Elev, Le Kong";https://arhiiv.err.ee/vaata/paevakaja-laos;https://media.err.ee:80/arhiiv/@/AUDIO/a_103885_RMARHIIV.m4a
24;PÄEVAKAJA NR 451. 26.03.1960;RMARH-103690;"";26.03.1960;00:39:29;"";Päevakaja;"Ripus Aino, Irjas Heino, Ilves Elfriede, Uus, Riis, Vinkel, Stjopin Anatoli, Rozner Eddy, Nuude Rudolf, Pintšuk, Orviku Kaarel";https://arhiiv.err.ee/vaata/paevakaja-nr-451-26-03-1960;https://media.err.ee:80/arhiiv/@/AUDIO/a_103690_RMARHIIV.m4a
25;PÄEVAKAJA. Alguskujundus;RMARH-102764;"";17.12.1960;00:00:31;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-alguskujundus-193637;https://media.err.ee:80/arhiiv/@/AUDIO/a_102764_RMARHIIV.m4a
26;PÄEVAKAJA. Kalevi-Liiva mõrvarid kohtu ees. 1. saade.;ASCDR-248.1;"";06.03.1961;00:34:07;"";Päevakaja;"Gerretz Raul, Raudsalu Valter, Simson Robert";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-kalevi-liiva-morvarid-kohtu-ees-1-saade;https://media.err.ee:80/arhiiv/@/AUDIO/a_29498_RMARHIIV.m4a
